time_s,angle_deg,omega_rad_per_s,alpha_rad_per_s2,actuator_length_m,moment_arm_m,actuator_force_N,quasistatic_force_N,pivot_load_on_mount_x_N,pivot_load_on_mount_y_N,fixed_anchor_load_on_mount_x_N,fixed_anchor_load_on_mount_y_N,center_acceleration_x_m_per_s2,center_acceleration_y_m_per_s2
0.48,32.220800000000004,1.7592918860102844,2.443460952792059,0.15821957835490227,0.04588495967330271,86.98338044555695,81.39193170353174,-81.11779096147875,1.6809939826039546,82.88236388712866,-26.393602069783658,-0.7058291702599685,0.07504323487188079
0.486,32.8280813700625,1.7736151677724716,2.3307181372671355,0.15773160409344894,0.04619344086417758,85.60163771085054,80.30379888709601,-79.87445230655415,1.1247760012791268,81.63254520369374,-25.76369426822571,-0.7032371588558357,0.04556730677863277
0.49199999999999994,33.440169942,1.7872576020476088,2.2165245168014986,0.15723647104456048,0.04650200861620718,84.22144423144722,79.2166050601981,-78.63246358701021,0.5754112188891227,80.38159721108667,-25.140614515667618,-0.6996534496305862,0.016081318711397907
0.498,34.0568301876875,1.8002107130805165,2.100956449549913,0.15673431938692864,0.04681046039822278,82.8433743457987,78.1307433371296,-77.39238540583312,0.03309614426473928,79.13005087712071,-24.52467576100502,-0.6950661885150353,-0.01336815330388823
0.504,34.67782374400001,1.8124664832649449,1.9840902936671532,0.15622529762532192,0.047118593890173685,81.46798211055334,77.04659633404576,-76.15475894481618,-0.5019931421569659,77.87842360010495,-23.916171238892993,-0.6894658621155066,-0.042734247580017946
0.51,35.3029095703125,1.8240173531435702,1.8660024073080028,0.1557095625754583,0.04742620724026424,80.095801860869,75.9645363819589,-74.92010620596714,-1.0297004886617174,76.62721957254175,-23.31537467674625,-0.682845346629841,-0.07196993383681513
0.516,35.93184410599999,1.8348562214079984,1.7467691486272277,0.15518727933308368,0.04773309932321886,78.72734879117449,74.88492575126428,-73.68893028333476,-1.5498891346159311,75.37693015453954,-22.722540530603368,-0.6751999484819132,-0.1010281339122812
0.5219999999999999,36.56438142793749,1.844976444898763,1.626466875779606,0.15465862122700166,0.04803906999940553,77.36311955206348,73.80811688529721,-72.4617156627369,-2.062441138267527,74.12803425387604,-22.137904247761274,-0.6665274364556544,-0.12986184558848127
0.528,37.200273408,1.8543718386053285,1.505171946919911,0.1541237697558489,0.048343920374537365,76.003592859337,72.73445264062542,-71.2389285470668,-2.5672567733058997,72.88099870993716,-21.56168255424427,-0.6568280651481395,-0.15842426897993203
0.534,37.83926987056251,1.8630366756660879,1.3829607202029188,0.15358291450845638,0.04864745305966192,74.649230111541,71.66426653198386,-70.02101720504129,-3.0642538973964193,71.63627867904552,-20.994073765325492,-0.6461045896016894,-0.1866689349112363
0.54,38.48111875,1.8709656873683596,1.2599095537834046,0.15303625306768334,0.04894947243113802,73.3004760126663,70.59788297995561,-68.80841234142929,-3.5533672958030778,70.39431801897142,-20.435258117464112,-0.6343622710168502,-0.21454983469312536
0.546,39.1255662481875,1.8781540631483933,1.136094805816143,0.1524839908976609,0.04924978489028987,71.95775919699373,69.53561755969666,-67.60152748696176,-4.034548003110267,69.15554967069005,-19.885398120159852,-0.6216088734913181,-0.24202155069195322
0.5519999999999999,39.772356992000006,1.884597450591366,1.0115928344559153,0.1519263412144279,0.04954819912241781,70.62149285337027,68.47777724918772,-66.40075940627393,-4.507762605951687,67.92039603570909,-19.344638926355305,-0.6078546517740607,-0.2690393870772035
0.5579999999999999,40.421234190812505,1.8902919554313864,0.8864799978574824,0.1513635248399936,0.049844526354835245,69.29207534649393,67.4246606756751,-65.20648852236666,-4.9729925295524495,66.68926934753864,-18.81310872013545,-0.5931123300687958,-0.29555950012484156
0.564,41.07193979399999,1.89523414155149,0.7608326541756254,0.15079577003990777,0.05013858061359066,67.96989083306427,66.37655835913327,-64.01907935619487,-5.43023331078869,65.46257203611057,-18.29091912058296,-0.5773970719662833,-0.3215390274513416
0.57,41.72421464843749,1.8994210309836377,0.6347271615651268,0.15022331234446917,0.05043017897852359,66.65530987091867,65.33375295174294,-62.83888098009874,-5.879493860368974,64.24069708417437,-17.778165600745712,-0.560726441630252,-0.34693621555412674
0.576,42.377798655999996,1.9028501039087242,0.5082398781807431,0.14964639435375252,0.050719141836292045,65.34869001952522,64.29651947253082,-61.66622748388528,-6.32079571664266,63.02402837490263,-17.27492792076028,-0.543120356406939,-0.37171054503882517
0.582,43.03243093106251,1.9055192986565685,0.38144716217727204,0.14906526552668092,0.05100529313099921,64.05037643043484,63.26512553645906,-60.50143845244673,-6.754172293443165,61.81294103012873,-16.78127057425126,-0.5246010310728001,-0.3958228529222305
0.588,43.68784995799999,1.9074270117059215,0.2544253717094748,0.14848018195442028,0.05128846061203492,62.760702426513554,62.23983157738484,-59.344819453866336,-7.179668124278042,60.60780173881293,-16.297243247191496,-0.5051929139786386,-0.419235451412186
0.594,44.3437937486875,1.9085720976844627,0.12725086493212184,0.14789140611841906,0.05156847607873727,61.47999006897629,61.22089106443188,-58.19666253701357,-7.597338105083672,59.40896907549095,-15.822881288462673,-0.4849226153909519,-0.44191224258146217
0.6,45.0,1.908953869368798,0.0,0.1472992066334633,0.05184517562146735,60.20855071142812,60.20855071142812,-57.0572467376694,-8.007246737669409,58.21679380860007,-15.358206191399924,-0.4638188283722671,-0.46381882837226707
0.606,45.656206251312504,1.9085720976844622,-0.12725086493212032,0.14670385797616375,0.05211839985867896,58.94668554028484,59.20305067916291,-55.92683859224714,-8.409467375885733,57.031619198700795,-14.903226085636891,-0.4419122425814621,-0.4849226153909514
0.612,46.31215004200002,1.907427011705921,-0.2544253717094688,0.1461056401993348,0.05238799416955274,57.6946861010983,58.20462477031004,-54.80569265819216,-8.804081476460446,55.85378128672262,-14.457936238592962,-0.41923545141218654,-0.5051929139786376
0.618,46.96756906893749,1.905519298656568,-0.381447162177269,0.1455048386327711,0.05265380892175222,56.45283481044445,57.21350061694164,-53.69405204014651,-9.19117785636018,54.68360917245209,-14.022319565957824,-0.39582285292223074,-0.5246010310727993
0.624,47.622201344000004,1.9028501039087224,-0.5082398781807476,0.14490174357096772,0.05291569969384684,55.22140545315169,56.22989986062872,-52.59214892096114,-9.570851958447408,53.521425283558195,-13.596347150535248,-0.3717105450388238,-0.5431203564069387
0.63,48.27578535156251,1.8994210309836372,-0.6347271615651268,0.14429664994837263,0.0531735274919344,54.000663664750945,55.25403832518601,-51.50020509662619,-9.943205127118539,52.367545635511505,-13.179978768805833,-0.3469362155541266,-0.5607264416302518
0.6359999999999999,48.92806020599999,1.8952341415514893,-0.7608326541756254,0.14368985700279832,0.05342715895998302,52.79086739911502,54.28612618216722,-50.418432514168344,-10.308343895525972,51.2222800827967,-12.773163424558323,-0.3215390274513415,-0.5773970719662829
